Module	Titre	Node URL	PDF URL	Date
Cancérologie R2C	ITEM-R2C 291 - CANCÉROGENÈSE	https://www.s-ecn.com/node/26181	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20291%20-%20CANCEROGENESE.pdf	2025-07-24
Cancérologie R2C	ITEM-R2C 292 - DIAGNOSTIC DES CANCERS	https://www.s-ecn.com/node/26179	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20292%20-%20DIAGNOSTIC%20DES%20CANCERS.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 293 - ANATOMOPATHOLOGIE	https://www.s-ecn.com/node/26493	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20293%20-%20ANATOMOPATHOLOGIE_0.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 294 - TRAITEMENT DES CANCERS	https://www.s-ecn.com/node/26180	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20294%20-%20TRAITEMENT%20DES%20CANCERS.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 295 - PRISE EN CHARGE D’UN MALADE ATTEINT D’UN CANCER	https://www.s-ecn.com/node/26182	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20295%20-%20PRISE%20EN%20CHARGE%20D%E2%80%99UN%20MALADE%20ATTEINT%20D%E2%80%99UN%20CANCER.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 297 - CANCER DE L'ENFANT	https://www.s-ecn.com/node/26183	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20297%20-%20CANCER%20ENFANT.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 298 - TUMEURS DE LA CAVITÉ BUCCALE, NASO-SINUSIENNE, DU CAVUM ET DES VOIES AÉRODIGESTIVES SUPÉRIEURES	https://www.s-ecn.com/node/26184	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20298%20-%20TUMEURS%20DE%20LA%20CAVITE%20BUCCALE%20NASO-SINUSIENNE%20DU%20CAVUM%20ET%20DES%20VOIES%20AERODIGESTIVES%20SUPERIEURES_0.pdf	2025-07-28
Cancérologie R2C	ITEM-R2C 299 - TUMEURS INTRACRÂNIENNES	https://www.s-ecn.com/node/27003	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20299%20-%20TUMEURS%20INTRACRANIENNES_1.pdf	2025-08-01
Cancérologie R2C	ITEM-R2C 300 - TUMEURS DE L'UTERUS	https://www.s-ecn.com/node/27001	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20300%20-%20TUMEURS%20DE%20L%20UTERUS.pdf	2025-09-09
Cancérologie R2C	ITEM-R2C 301 - TUMEUR DU CÔLON ET DU RECTUM	https://www.s-ecn.com/node/26177	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20301%20-%20TUMEUR%20DU%20COLON%20ET%20DU%20RECTUM.pdf	2025-07-29
Cancérologie R2C	ITEM-R2C 302 - TUMEUR CUTANÉE ÉPITHÉLIALE ET MÉLANIQUE	https://www.s-ecn.com/node/27005	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20302%20-%20TUMEUR%20CUTANEE%20EPITHELIALE%20ET%20MELANIQUE.pdf	2025-07-29
Cancérologie R2C	ITEM-R2C 303 - TUMEUR DE L'ESTOMAC (K)	https://www.s-ecn.com/node/26185	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20303%20-%20TUMEUR%20DE%20L_ESTOMAC.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 304 - TUMEURS DU FOIE (K)	https://www.s-ecn.com/node/26236	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20304%20-%20TUMEURS%20DU%20FOIE%20(K).pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 305 - TUMEUR DE L’OESOPHAGE	https://www.s-ecn.com/node/26194	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20305%20-%20TUMEUR%20DE%20L%E2%80%99OESOPHAGE.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 306 - TUMEUR DE L’OVAIRE	https://www.s-ecn.com/node/27006	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20306%20-%20TUMEUR%20DE%20L%E2%80%99OVAIRE.pdf	2025-07-29
Cancérologie R2C	ITEM-R2C 307 - TUMEURS DES OS PRIMITIVES ET SECONDAIRES	https://www.s-ecn.com/node/27040	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20307%20-%20TUMEURS%20DES%20OS%20PRIMITIVES%20ET%20SECONDAIRES_0.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 308 - TUMEUR DU PANCRÉAS	https://www.s-ecn.com/node/26187	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20308%20-%20TUMEURS%20DU%20PANCREAS.pdf	2025-07-29
Cancérologie R2C	ITEM-R2C 309 - TUMEUR BRONCHO-PULMONAIRE	https://www.s-ecn.com/node/27041	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20309%20-%20TUMEUR%20BRONCHO-PULMONAIRE.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 310 - TUMEUR DE LA PROSTATE	https://www.s-ecn.com/node/26195	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20310%20-%20TUMEUR%20DE%20LA%20PROSTATE.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 311 - TUMEUR DU REIN	https://www.s-ecn.com/node/26239	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20311%20-%20TUMEUR%20DU%20REIN.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 312 - TUMEUR DU SEIN	https://www.s-ecn.com/node/26186	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20312%20-%20TUMEUR%20DU%20SEIN%20.pdf	2025-07-29
Cancérologie R2C	ITEM-R2C 313 - TUMEUR DU TESTICULE	https://www.s-ecn.com/node/26192	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20313%20-%20TUMEUR%20DU%20TESTICULE.pdf	2025-08-04
Cancérologie R2C	ITEM-R2C 314 - TUMEURS VÉSICALES	https://www.s-ecn.com/node/26196	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20314%20-%20TUMEUR%20VESICALE_0.pdf	2025-08-04
Cardiologie	Item 150 : Surveillance des porteurs de valve et prothèses vasculaires	https://www.s-ecn.com/node/21042	https://www.s-ecn.com/sites/default/files/ITEM%20150%20-%20SURVEILLANCE%20VALVE-PROTHESE_V4_0.pdf	2020-03-09
Cardiologie	Item 218 : Athérome	https://www.s-ecn.com/node/21035	https://www.s-ecn.com/sites/default/files/ITEM%20218%20-%20ATHEROME_V4.pdf	2020-10-28
Cardiologie	Item 219 : Facteurs de risque cardio-vasculaire et prévention	https://www.s-ecn.com/node/21036	https://www.s-ecn.com/sites/default/files/ITEM%20219%20-%20FDRCV_V3_0.pdf	2020-02-06
Cardiologie	Item 221 : Hypertension artérielle de l'adulte	https://www.s-ecn.com/node/21037	https://www.s-ecn.com/sites/default/files/ITEM%20221%20-%20HTA_V3.pdf	2020-01-07
Cardiologie	Item 223 : Anévrisme - Artériopathie viscérale	https://www.s-ecn.com/node/21038	https://www.s-ecn.com/sites/default/files/ITEM%20223%20-%20ANEVRISME%20-%20ARTERIOPATHIE%20VISCERALE_V4.pdf	2020-12-14
Cardiologie	Item 223 : Artériopathie oblitérante des membres inférieurs - Ischémie aiguë des membres supérieurs	https://www.s-ecn.com/node/21039	https://www.s-ecn.com/sites/default/files/ITEM%20223%20-%20AOMI%20-%20ISCHEMIE%20AIGUE%20M_V4.pdf	2020-12-14
Cardiologie	Item 225 : Insuffisance veineuse chronique - Varices	https://www.s-ecn.com/node/21055	https://www.s-ecn.com/sites/default/files/ITEM%20225%C2%A0-%20INSUFFISANCE%20VEINEUSE%20CHRONIQUE_V2.pdf	2019-01-23
Cardiologie	Item 228 : Douleur thoracique aiguë et chronique	https://www.s-ecn.com/node/21051	https://www.s-ecn.com/sites/default/files/ITEM%20228-%20DOULEUR%20THORACIQUE%20-%20DISSECTION_V4.pdf	2020-03-26
Cardiologie	Item 229 : Électrocardiogramme : indications et interprétations	https://www.s-ecn.com/node/21045	https://www.s-ecn.com/sites/default/files/ITEM%20229%20-%20ECG_V4.pdf	2020-03-24
Cardiologie	Item 230 : Fibrillation atriale	https://www.s-ecn.com/node/21046	https://www.s-ecn.com/sites/default/files/ITEM%20230%20-%20FA_V4.pdf	2020-04-15
Cardiologie	Item 231 : Valvulopathies	https://www.s-ecn.com/node/21043	https://www.s-ecn.com/sites/default/files/ITEM%20231%20-%20VALVULOPATHIES_V4.pdf	2020-10-27
Cardiologie	Item 232 : Insuffisance cardiaque aiguë	https://www.s-ecn.com/node/21049	https://www.s-ecn.com/sites/default/files/ITEM%20232%20-%20INSUFFISANCE%20CARDIAQUE%20AIGUE_V4.pdf	2020-10-27
Cardiologie	Item 232 : Insuffisance cardiaque chronique	https://www.s-ecn.com/node/21050	https://www.s-ecn.com/sites/default/files/ITEM%20232%20-%20INSUFFISANCE%20CARDIAQUE%20CHRONIQUE_V4.pdf	2020-10-27
Cardiologie	Item 233 : Péricardite aiguë	https://www.s-ecn.com/node/21052	https://www.s-ecn.com/sites/default/files/ITEM%20233%20-%20PERICARDITE_V4.pdf	2020-03-26
Cardiologie	Item 234 : Troubles de la conduction intracardiaque	https://www.s-ecn.com/node/21047	https://www.s-ecn.com/sites/default/files/ITEM%20234%20-%20TROUBLES%20DE%20CONDUCTION_V4.pdf	2020-10-28
Cardiologie	Item 235 : Palpitations - Troubles du rythme	https://www.s-ecn.com/node/21048	https://www.s-ecn.com/sites/default/files/ITEM%20235%20-%20PALPITATIONS%20-%20TROUBLES%20DU%20RYTHME_V4.pdf	2020-03-31
Cardiologie	Item 329 : Traumatisme vasculaire	https://www.s-ecn.com/node/21054	https://www.s-ecn.com/sites/default/files/ITEM%20329%C2%A0-%20TRAUMATISME%20VASCULAIRE_V3.pdf	2020-11-05
Cardiologie	Item 334 : Angor chronique stable	https://www.s-ecn.com/node/21041	https://www.s-ecn.com/sites/default/files/ITEM%20334%20-%20ANGOR%20CHRONIQUE%20STABLE_V3.pdf	2019-12-05
Cardiologie	Item 334 : Syndromes coronariens aigus	https://www.s-ecn.com/node/21040	https://www.s-ecn.com/sites/default/files/ITEM%20334%20-%20SCA_V4.pdf	2020-03-12
Cardiologie	Item 337 : Syncope-Lipothymie	https://www.s-ecn.com/node/21053	https://www.s-ecn.com/sites/default/files/ITEM%20337-%20SYNCOPE-LIPOTHYMIE_V3.pdf	2020-03-13
Cardiologie R2C	ITEM-R2C 113 - HÉMANGIOME ET MALFORMATIONS VASCULAIRES CUTANÉES	https://www.s-ecn.com/node/26394	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20113%20-%20H%C3%89MANGIOMES%20ET%20MALFORMATIONS%20VASCULAIRES%20CUTAN%C3%89ES%20-V2.pdf	2022-12-05
Cardiologie R2C	ITEM-R2C 153 - SURVEILLANCE DES PORTEURS DE VALVES ET PROTHÈSES VASCULAIRES	https://www.s-ecn.com/node/26331	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20153%20-%20SURVEILLANCE%20DES%20PORTEURS%20DE%20VALVES%20ET%20PROTH%C3%88SES%20VASCULAIRES%20-V2_0.pdf	2023-06-22
Cardiologie R2C	ITEM-R2C 221 - ATHÉROME - PATIENT POLYATHÉROMATEUX	https://www.s-ecn.com/node/26313	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20221%20-%20ATH%C3%89ROME%20-%20PATIENT%20POLYATH%C3%89ROMATEUX%20-V2_0.pdf	2023-06-22
Cardiologie R2C	ITEM-R2C 222 - FACTEURS DE RISQUE CARDIOVASCULAIRE ET PRÉVENTION	https://www.s-ecn.com/node/26312	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20222%20-%20FACTEURS%20DE%20RISQUE%20CARDIOVASCULAIRE%20ET%20PR%C3%89VENTION%20-V2_0.pdf	2023-06-22
Cardiologie R2C	ITEM-R2C 223 - DYSLIPIDÉMIE	https://www.s-ecn.com/node/27051	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20223%20-%20DYSLIPIDEMIE_0.pdf	2025-11-07
Cardiologie R2C	ITEM-R2C 224 - HYPERTENSION ARTÉRIELLE CHEZ L'ADULTE ET CHEZ L'ENFANT	https://www.s-ecn.com/node/26314	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20224%20-%20HYPERTENSION%20ART%C3%89RIELLE%20-V3.pdf	2024-03-25
Cardiologie R2C	ITEM-R2C 225 - ANÉVRISME - ARTÉRIOPATHIE VISCÉRALE	https://www.s-ecn.com/node/26316	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20225%20-%20AN%C3%89VRISME%20-%20ART%C3%89RIOPATHIE%20VISC%C3%89RALE%20-V2_0.pdf	2023-06-28
Cardiologie R2C	ITEM-R2C 225 - ARTÉRIOPATHIE DES MEMBRES INFÉRIEURS	https://www.s-ecn.com/node/26315	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20225%20-%20ART%C3%89RIOPATHIE%20DES%20MEMBRES%20INF%C3%89RIEURS%20-V2_0.pdf	2023-06-28
Cardiologie R2C	ITEM-R2C 227 - INSUFFISANCE VEINEUSE CHRONIQUE - VARICES	https://www.s-ecn.com/node/26373	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20227%20-%20INSUFFISANCE%20VEINEUSE%20CHRONIQUE%20-%20VARICES%20-V2_0.pdf	2024-01-26
Cardiologie R2C	ITEM-R2C 230 - DOULEUR THORACIQUE	https://www.s-ecn.com/node/26317	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20230%20-%20DOULEUR%20THORACIQUE%20-V3.pdf	2023-09-21
Cardiologie R2C	ITEM-R2C 231 - ÉLECTROCARDIOGRAMME	https://www.s-ecn.com/node/26318	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20231%20-%20%C3%89LECTROCARDIOGRAMME%20-V2.pdf	2023-06-29
Cardiologie R2C	ITEM-R2C 232 - FIBRILLATION ATRIALE	https://www.s-ecn.com/node/26319	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20232%20-%20FIBRILLATION%20ATRIALE%20-V2.pdf	2023-06-29
Cardiologie R2C	ITEM-R2C 233 - VALVULOPATHIES	https://www.s-ecn.com/node/26626	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20233%20-%20VALVULOPATHIES%20-V2_0.pdf	2024-10-22
Cardiologie R2C	ITEM-R2C 234 - INSUFFISANCE CARDIAQUE AIGUË	https://www.s-ecn.com/node/26322	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20234%20-%20INSUFFISANCE%20CARDIAQUE%20AIGU%C3%8B%20-V2.pdf	2023-06-29
Cardiologie R2C	ITEM-R2C 234 - INSUFFISANCE CARDIAQUE CHRONIQUE	https://www.s-ecn.com/node/26323	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20234%20-%20INSUFFISANCE%20CARDIAQUE%20CHRONIQUE%20-V2.pdf	2023-07-04
Cardiologie R2C	ITEM-R2C 235 - PÉRICARDITE AIGUË	https://www.s-ecn.com/node/26325	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20235%20-%20P%C3%89RICARDITE%20AIGU%C3%8B%20-V2.pdf	2023-06-28
Cardiologie R2C	ITEM-R2C 236 - TROUBLES DE LA CONDUCTION INTRACARDIAQUE	https://www.s-ecn.com/node/26326	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20236%20-%20TROUBLES%20DE%20LA%20CONDUCTION%20INTRACARDIAQUE%20-V2.pdf	2023-06-29
Cardiologie R2C	ITEM-R2C 237 - PALPITATIONS - TROUBLE DU RYTHME	https://www.s-ecn.com/node/26324	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20237%20-%20PALPITATIONS%20-%20TROUBLE%20DU%20RYTHME%20-V2.pdf	2023-06-29
Cardiologie R2C	ITEM-R2C 339 - ANGOR CHRONIQUE STABLE	https://www.s-ecn.com/node/26363	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20339%20-%20ANGOR%20CHRONIQUE%20STABLE%20-V2.pdf	2023-07-04
Cardiologie R2C	ITEM-R2C 339 - SYNDROMES CORONARIENS AIGUS	https://www.s-ecn.com/node/26327	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20339%20-%20SYNDROMES%20CORONARIENS%20AIGUS%20-V2.pdf	2023-06-28
Cardiologie R2C	ITEM-R2C 342 - MALAISE - PERTE DE CONNAISSANCE (CARDIO)	https://www.s-ecn.com/node/26329	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20342%20-%20MALAISE%20-%20PERTE%20DE%20CONNAISSANCE%20-V2.pdf	2023-07-04
Dermatologie	Item 109 : Dermatoses faciales : acné, rosacée, dermatite séborrhéique	https://www.s-ecn.com/node/21538	https://www.s-ecn.com/sites/default/files/ITEM%20109%20-%20DERMATOSE%20FACIALE_V3.pdf	2020-06-16
Dermatologie	Item 110 : Dermatose bulleuse auto-immune	https://www.s-ecn.com/node/21539	https://www.s-ecn.com/sites/default/files/ITEM%20110%C2%A0-%20DERMATOSE%20BULLEUSE%20AUTOIMMUNE_V3.pdf	2020-06-18
Dermatologie	Item 111 : Hémangiome et malformations vasculaires cutanées	https://www.s-ecn.com/node/21540	https://www.s-ecn.com/sites/default/files/ITEM%20111-%20HEMANGIOME-MALFORMATION%20VASCULAIRE_V3.pdf	2020-10-23
Dermatologie	Item 112 : Exanthème et érythrodermie	https://www.s-ecn.com/node/21541	https://www.s-ecn.com/sites/default/files/ITEM%20112%C2%A0-%20EXANTHEME-ERYTHRODERMIE_V3.pdf	2020-06-19
Dermatologie	Item 113 : Prurit	https://www.s-ecn.com/node/21542	https://www.s-ecn.com/sites/default/files/ITEM%20113%20-%20PRURIT_V3_0.pdf	2020-10-23
Dermatologie	Item 114 : Psoriasis	https://www.s-ecn.com/node/21543	https://www.s-ecn.com/sites/default/files/ITEM%20114%20-%20PSORIASIS_V3.pdf	2020-06-22
Dermatologie	Item 152 : Infections cutanéo-muqueuses et des phanères, bactériennes et mycosiques	https://www.s-ecn.com/node/21544	https://www.s-ecn.com/sites/default/files/ITEM%20152%20-%20INFECTION%20CUTANEOMUQUEUSE_V3.pdf	2020-07-06
Dermatologie	Item 167 : Gale et pédiculose	https://www.s-ecn.com/node/21546	https://www.s-ecn.com/sites/default/files/ITEM%20167%20-%20ECTOPARASITOSE%20CUTANEE_V3_0.pdf	2020-07-16
Dermatologie	Item 183 : Hypersensibilité et allergie cutanéomuqueuse	https://www.s-ecn.com/node/21547	https://www.s-ecn.com/sites/default/files/ITEM%20183%20-%20HYPERSENSIBILITE-ALLERGIE%20CUTANEE_V2.pdf	2019-06-21
Dermatologie	Item 226 : Ulcère de jambe	https://www.s-ecn.com/node/21548	https://www.s-ecn.com/sites/default/files/ITEM%20226%20-%20ULCERE%20DE%20JAMBE_V3.pdf	2020-04-15
Dermatologie	Item 299 : Tumeurs cutanées, épithéliales et mélaniques	https://www.s-ecn.com/node/21549	https://www.s-ecn.com/sites/default/files/ITEM%20299%20-%20TUMEUR%20CUTANEE_V3.pdf	2020-10-28
Dermatologie	Item 316 : Lymphome cutané	https://www.s-ecn.com/node/21550	https://www.s-ecn.com/sites/default/files/ITEM%20316%C2%A0-%20LYMPHOME%20CUTANE_V2.pdf	2019-06-21
Dermatologie	Item 322 : Toxidermie médicamenteuse	https://www.s-ecn.com/node/21551	https://www.s-ecn.com/sites/default/files/ITEM%20322%C2%A0-%20TOXIDERMIE%20MEDICAMENTEUSE_V2.pdf	2019-06-21
Dermatologie	Item 345 : Grosse jambe rouge aiguë	https://www.s-ecn.com/node/21552	https://www.s-ecn.com/sites/default/files/ITEM%20345%20-%20GROSSE%20JAMBE%20ROUGE%20AIGUE_V3.pdf	2020-07-16
Dermatologie	Troubles des phanères	https://www.s-ecn.com/node/21553	https://www.s-ecn.com/sites/default/files/TROUBLES%20DES%20PHANERES.pdf	2017-10-19
Dermatologie	Ulcération et érosion muqueuse orale ou génitale	https://www.s-ecn.com/node/21554	https://www.s-ecn.com/sites/default/files/ULCERATION%20MUQUEUSE.pdf	2017-10-19
Dermatologie R2C	ITEM-R2C 111 - DERMATOSES FACIALES	https://www.s-ecn.com/node/26390	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20111%20-%20DERMATOSES%20FACIALES.pdf	2022-06-27
Dermatologie R2C	ITEM-R2C 112 - DERMATOSE BULLEUSE AUTOIMMUNE	https://www.s-ecn.com/node/26403	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20112%20-%20DERMATOSE%20BULLEUSE%20AUTOIMMUNE_0.pdf	2022-09-14
Dermatologie R2C	ITEM-R2C 114 ET 164 - EXANTHÈME ET ÉRYTHRODERMIE	https://www.s-ecn.com/node/26391	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20114%20ET%20164%20-%20EXANTH%C3%88ME%20ET%20%C3%89RYTHRODERMIE.pdf	2022-06-27
Dermatologie R2C	ITEM-R2C 115 - TOXIDERMIES	https://www.s-ecn.com/node/26400	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20115%20-%20TOXIDERMIES%20.pdf	2022-06-28
Dermatologie R2C	ITEM-R2C 116 - PRURIT	https://www.s-ecn.com/node/26392	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20116%20-%20PRURIT.pdf	2022-06-27
Dermatologie R2C	ITEM-R2C 117 - PSORIASIS	https://www.s-ecn.com/node/26393	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20117%20-%20PSORIASIS.pdf	2022-06-27
Dermatologie R2C	ITEM-R2C 155 - INFECTIONS CUTANÉOMUQUEUSES ET DES PHANÈRES	https://www.s-ecn.com/node/26396	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20155%20-%20INFECTIONS%20CUTAN%C3%89OMUQUEUSES%20ET%20DES%20PHAN%C3%88RES-V2.pdf	2024-01-08
Dermatologie R2C	ITEM-R2C 187 - HYPERSENSIBILITÉ ET ALLERGIE CUTANÉO-MUQUEUSE	https://www.s-ecn.com/node/26397	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20187%20-%20HYPERSENSIBILIT%C3%89%20ET%20ALLERGIE%20CUTAN%C3%89O-MUQUEUSE.pdf	2022-06-28
Dermatologie R2C	ITEM-R2C 228 - ULCÈRE DE JAMBE	https://www.s-ecn.com/node/26398	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20228%20-%20ULC%C3%88RE%20DE%20JAMBE%20-V2.pdf	2022-12-07
Dermatologie R2C	ITEM-R2C 239 - ACROSYNDROMES	https://www.s-ecn.com/node/26402	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20239%20-%20ACROSYNDROMES%20-V2.pdf	2022-12-05
Dermatologie R2C	ITEM-R2C 302 - TUMEUR CUTANÉE ÉPITHÉLIALE ET MÉLANIQUE	https://www.s-ecn.com/node/26204	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20302%20-%20TUMEUR%20CUTAN%C3%89E%20%C3%89PITH%C3%89LIALE%20ET%20M%C3%89LANIQUE_0.pdf	2022-06-28
Dermatologie R2C	ITEM-R2C 319 - LYMPHOME CUTANÉ	https://www.s-ecn.com/node/26399	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20319%20-%20LYMPHOME%20CUTAN%C3%89.pdf	2022-06-28
Dermatologie R2C	ITEM-R2C 350 - GROSSE JAMBE ROUGE AIGUË	https://www.s-ecn.com/node/26401	https://www.s-ecn.com/sites/default/files/ITEM-R2C%20350%20-%20GROSSE%20JAMBE%20ROUGE%20AIGU%C3%8B.pdf	2022-06-28
Digestif	Item 163 : Anomalies du bilan hépatique	https://www.s-ecn.com/node/21093	https://www.s-ecn.com/sites/default/files/ITEM%20163%20-%20ANOMALIE%20BILAN%20HEPATIQUE_V2.pdf	2019-09-26
Digestif	Item 163 : Hépatites aiguës	https://www.s-ecn.com/node/25813	https://www.s-ecn.com/sites/default/files/ITEM%20163%20-%20HEPATITES%20AIGUES_V2.pdf	2019-09-26
Digestif	Item 163 : Hépatites virales	https://www.s-ecn.com/node/21094	https://www.s-ecn.com/sites/default/files/ITEM%20163%20-%20HEPATITES%20VIRALES_V2_0.pdf	2020-11-03
Digestif	Item 197 : Transplantation hépatique	https://www.s-ecn.com/node/21095	https://www.s-ecn.com/sites/default/files/ITEM%20197%20-%20TRANSPLANTATION%20HEPATIQUE_V3.pdf	2020-03-31
Digestif	Item 267 : Douleur abdominale	https://www.s-ecn.com/node/21104	https://www.s-ecn.com/sites/default/files/ITEM%20267%C2%A0-%20DOULEUR%20ABDOMINALE_V2.pdf	2019-03-20
Digestif	Item 268 : Reflux gastro-oesophagien - Hernie hiatale	https://www.s-ecn.com/node/21079	https://www.s-ecn.com/sites/default/files/ITEM%20268%20-%20RGO_V3.pdf	2020-12-15
Digestif	Item 269 : Gastrite	https://www.s-ecn.com/node/25814	https://www.s-ecn.com/sites/default/files/ITEM%20269%20-%20GASTRITE_V2.pdf	2019-09-26
Digestif	Item 269 : Ulcère gastroduodénal	https://www.s-ecn.com/node/21080	https://www.s-ecn.com/sites/default/files/ITEM%20269%20-%20ULCERE%20GASTRODUODENAL_V2_0.pdf	2021-06-25
Digestif	Item 270 : Dysphagie œsophagienne	https://www.s-ecn.com/node/21081	https://www.s-ecn.com/sites/default/files/ITEM%20270%C2%A0-%20DYSPHAGIE_V2.pdf	2020-10-20
